index,status,mode,seconds,return_code,test_path,expect_path,unique_id,expected_compact,actual_compact,message,raw_log,program_log,source
1,BASARILI,compact,5.3417,0,uxm\tests\all_expected_known\0161__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test46_fifo_clear__8d1f5ff5ef.uxm,uxm\tests\all_expected_known\0161__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test46_fifo_clear__8d1f5ff5ef.expect,uxm_tests_all_expected_known_0161__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test46_fifo_clear__8d1f5ff5ef.uxm,30,30,compact,fast_results\runs\fast_failed_unique_v8_20260510_173450\logs\0001_uxm_tests_all_expected_known_0161__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test46_fifo_clear__8d1f5ff5ef.uxm.raw.log,fast_results\runs\fast_failed_unique_v8_20260510_173450\program_outputs\0001_uxm_tests_all_expected_known_0161__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test46_fifo_clear__8d1f5ff5ef.uxm.program.txt,manifest
2,BASARILI,compact,4.8775,0,uxm\tests\all_expected_known\0162__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test46_sqrt__ba2125299d.uxm,uxm\tests\all_expected_known\0162__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test46_sqrt__ba2125299d.expect,uxm_tests_all_expected_known_0162__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test46_sqrt__ba2125299d.uxm,5,5,compact,fast_results\runs\fast_failed_unique_v8_20260510_173450\logs\0002_uxm_tests_all_expected_known_0162__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test46_sqrt__ba2125299d.uxm.raw.log,fast_results\runs\fast_failed_unique_v8_20260510_173450\program_outputs\0002_uxm_tests_all_expected_known_0162__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test46_sqrt__ba2125299d.uxm.program.txt,manifest
3,BASARILI,compact,4.8944,0,uxm\tests\all_expected_known\0163__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test47_sinh__bf870a2c68.uxm,uxm\tests\all_expected_known\0163__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test47_sinh__bf870a2c68.expect,uxm_tests_all_expected_known_0163__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test47_sinh__bf870a2c68.uxm,55,55,compact,fast_results\runs\fast_failed_unique_v8_20260510_173450\logs\0003_uxm_tests_all_expected_known_0163__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test47_sinh__bf870a2c68.uxm.raw.log,fast_results\runs\fast_failed_unique_v8_20260510_173450\program_outputs\0003_uxm_tests_all_expected_known_0163__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test47_sinh__bf870a2c68.uxm.program.txt,manifest
4,BASARILI,compact,4.2382,0,uxm\tests\all_expected_known\0164__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test47_tape_sort_ascending__1ef486c6a9.uxm,uxm\tests\all_expected_known\0164__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test47_tape_sort_ascending__1ef486c6a9.expect,uxm_tests_all_expected_known_0164__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test47_tape_sort_ascending__1ef486c6a9.uxm,ABC,ABC,compact,fast_results\runs\fast_failed_unique_v8_20260510_173450\logs\0004_uxm_tests_all_expected_known_0164__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test47_tape_sort_ascending__1ef486c6a.raw.log,fast_results\runs\fast_failed_unique_v8_20260510_173450\program_outputs\0004_uxm_tests_all_expected_known_0164__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test47_tape_sort_ascending__1ef486c6a.program.txt,manifest
5,BASARILI,compact,4.4173,0,uxm\tests\all_expected_known\0165__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test48_cosh__f8e0aaf176.uxm,uxm\tests\all_expected_known\0165__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test48_cosh__f8e0aaf176.expect,uxm_tests_all_expected_known_0165__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test48_cosh__f8e0aaf176.uxm,114,114,compact,fast_results\runs\fast_failed_unique_v8_20260510_173450\logs\0005_uxm_tests_all_expected_known_0165__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test48_cosh__f8e0aaf176.uxm.raw.log,fast_results\runs\fast_failed_unique_v8_20260510_173450\program_outputs\0005_uxm_tests_all_expected_known_0165__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test48_cosh__f8e0aaf176.uxm.program.txt,manifest
6,BASARILI,compact,4.6495,0,uxm\tests\all_expected_known\0167__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test49_data_linear_search__962f7b8415.uxm,uxm\tests\all_expected_known\0167__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test49_data_linear_search__962f7b8415.expect,uxm_tests_all_expected_known_0167__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test49_data_linear_search__962f7b8415.uxm,1,1,compact,fast_results\runs\fast_failed_unique_v8_20260510_173450\logs\0006_uxm_tests_all_expected_known_0167__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test49_data_linear_search__962f7b8415.raw.log,fast_results\runs\fast_failed_unique_v8_20260510_173450\program_outputs\0006_uxm_tests_all_expected_known_0167__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test49_data_linear_search__962f7b8415.program.txt,manifest
7,BASARILI,compact,4.8324,0,uxm\tests\all_expected_known\0168__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test49_tanh__9f2c8ceeca.uxm,uxm\tests\all_expected_known\0168__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test49_tanh__9f2c8ceeca.expect,uxm_tests_all_expected_known_0168__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test49_tanh__9f2c8ceeca.uxm,48,48,compact,fast_results\runs\fast_failed_unique_v8_20260510_173450\logs\0007_uxm_tests_all_expected_known_0168__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test49_tanh__9f2c8ceeca.uxm.raw.log,fast_results\runs\fast_failed_unique_v8_20260510_173450\program_outputs\0007_uxm_tests_all_expected_known_0168__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test49_tanh__9f2c8ceeca.uxm.program.txt,manifest
8,BASARILI,compact,4.9989,0,uxm\tests\all_expected_known\0171__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test52_meta_print_hex__443105bf21.uxm,uxm\tests\all_expected_known\0171__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test52_meta_print_hex__443105bf21.expect,uxm_tests_all_expected_known_0171__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test52_meta_print_hex__443105bf21.uxm,FF,FF,compact,fast_results\runs\fast_failed_unique_v8_20260510_173450\logs\0008_uxm_tests_all_expected_known_0171__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test52_meta_print_hex__443105bf21.uxm.raw.log,fast_results\runs\fast_failed_unique_v8_20260510_173450\program_outputs\0008_uxm_tests_all_expected_known_0171__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test52_meta_print_hex__443105bf21.uxm.program.txt,manifest
9,BASARILI,compact,4.7785,0,uxm\tests\all_expected_known\0172__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test53_meta_print_bin__746bc9c5a1.uxm,uxm\tests\all_expected_known\0172__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test53_meta_print_bin__746bc9c5a1.expect,uxm_tests_all_expected_known_0172__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test53_meta_print_bin__746bc9c5a1.uxm,101,101,compact,fast_results\runs\fast_failed_unique_v8_20260510_173450\logs\0009_uxm_tests_all_expected_known_0172__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test53_meta_print_bin__746bc9c5a1.uxm.raw.log,fast_results\runs\fast_failed_unique_v8_20260510_173450\program_outputs\0009_uxm_tests_all_expected_known_0172__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test53_meta_print_bin__746bc9c5a1.uxm.program.txt,manifest
10,BASARILI,compact,4.7664,0,uxm\tests\all_expected_known\0173__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test54_meta_print_char_raw__73558fea56.uxm,uxm\tests\all_expected_known\0173__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test54_meta_print_char_raw__73558fea56.expect,uxm_tests_all_expected_known_0173__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test54_meta_print_char_raw__73558fea56.uxm,A,A,compact,fast_results\runs\fast_failed_unique_v8_20260510_173450\logs\0010_uxm_tests_all_expected_known_0173__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test54_meta_print_char_raw__73558fea5.raw.log,fast_results\runs\fast_failed_unique_v8_20260510_173450\program_outputs\0010_uxm_tests_all_expected_known_0173__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test54_meta_print_char_raw__73558fea5.program.txt,manifest
