file,fix
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s16_dataset_init.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s16_dataset_row_dot_vec.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s16_dataset_row_to_vec.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s16_dataset_set_x.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s16_dataset_set_y.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s16_dataset_y_sum.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s16_pipe_batch_row_to_vec.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s16_pipe_batch_y_sum.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s16_pipe_data_to_vec.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s16_pipe_dataset_to_dense.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s16_pipe_eval_mse_dataset.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s16_pipe_feature_scale_const.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s16_pipe_info.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s16_pipe_linear_predict_data.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s16_pipe_status.uxm,memory data=512 -> data=128
uxm\tests\03_curated_stage_added_tests\stage15_16\uxm\tests\stage15_16\test_s16_pipe_vec_to_data.uxm,memory data=512 -> data=128
uxm\tests\all_expected_known\0448__s15_STAGE15_16_ml_data_pipeline__uxm_tests_stage15_16_test_s15_16_integration_data_vec_train__f280ea333f.uxm,memory data=512 -> data=128
uxm\tests\all_expected_known\0449__s15_STAGE15_16_ml_data_pipeline__uxm_tests_stage15_16_test_s15_16_integration_dataset_ml_predict__c17aa67135.uxm,memory data=512 -> data=128
uxm\tests\all_expected_known\0450__s15_STAGE15_16_ml_data_pipeline__uxm_tests_stage15_16_test_s15_ml_argmax__a1cfc649af.uxm,memory data=512 -> data=128
uxm\tests\all_expected_known\0451__s15_STAGE15_16_ml_data_pipeline__uxm_tests_stage15_16_test_s15_ml_clamp__89c9658ad1.uxm,memory data=512 -> data=128
