index,status,mode,seconds,return_code,test_path,expect_path,unique_id,expected_compact,actual_compact,message,raw_log,program_log,source
1,BASARILI,compact,6.0267,0,uxm\tests\stage17\test_s17_expect_exact_add.uxm,uxm\tests\stage17\test_s17_expect_exact_add.expect,uxm_tests_stage17_test_s17_expect_exact_add.uxm,17,17,compact,expected_results_v2\expected_20260510_054020\logs\0001_uxm_tests_stage17_test_s17_expect_exact_add.uxm.raw.log,expected_results_v2\expected_20260510_054020\program_outputs\0001_uxm_tests_stage17_test_s17_expect_exact_add.uxm.program.txt,dir
2,BASARILI,compact,4.3176,0,uxm\tests\stage17\test_s17_expect_exact_mul.uxm,uxm\tests\stage17\test_s17_expect_exact_mul.expect,uxm_tests_stage17_test_s17_expect_exact_mul.uxm,42,42,compact,expected_results_v2\expected_20260510_054020\logs\0002_uxm_tests_stage17_test_s17_expect_exact_mul.uxm.raw.log,expected_results_v2\expected_20260510_054020\program_outputs\0002_uxm_tests_stage17_test_s17_expect_exact_mul.uxm.program.txt,dir
3,UYUSMAZ,exact,4.5047,0,uxm\tests\stage17\test_s17_expect_multiline.uxm,uxm\tests\stage17\test_s17_expect_multiline.expect,uxm_tests_stage17_test_s17_expect_multiline.uxm,3042,3042,exact,expected_results_v2\expected_20260510_054020\logs\0003_uxm_tests_stage17_test_s17_expect_multiline.uxm.raw.log,expected_results_v2\expected_20260510_054020\program_outputs\0003_uxm_tests_stage17_test_s17_expect_multiline.uxm.program.txt,dir
4,BASARILI,compact,3.7851,0,uxm\tests\stage17\test_s17_integration_compact_pipeline.uxm,uxm\tests\stage17\test_s17_integration_compact_pipeline.expect,uxm_tests_stage17_test_s17_integration_compact_pipeline.uxm,305675,305675,compact,expected_results_v2\expected_20260510_054020\logs\0004_uxm_tests_stage17_test_s17_integration_compact_pipeline.uxm.raw.log,expected_results_v2\expected_20260510_054020\program_outputs\0004_uxm_tests_stage17_test_s17_integration_compact_pipeline.uxm.program.txt,dir
5,BASARILI,contains,3.4993,0,uxm\tests\stage17\test_s17_integration_contains_mode.uxm,uxm\tests\stage17\test_s17_integration_contains_mode.expect,uxm_tests_stage17_test_s17_integration_contains_mode.uxm,1012,1012,contains,expected_results_v2\expected_20260510_054020\logs\0005_uxm_tests_stage17_test_s17_integration_contains_mode.uxm.raw.log,expected_results_v2\expected_20260510_054020\program_outputs\0005_uxm_tests_stage17_test_s17_integration_contains_mode.uxm.program.txt,dir
