index,status,mode,seconds,return_code,test_path,expect_path,unique_id,expected_compact,actual_compact,message,raw_log,program_log,source
11,UYUSMAZ,compact,4.4123,0,uxm\tests\all_expected_known\0011__s10_STAGE10_hotfix1__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449.uxm,uxm\tests\all_expected_known\0011__s10_STAGE10_hotfix1__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449.expect,0011__s10_STAGE10_hotfix1__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449,12,0,compact,expected_results_v2\all_expected_v2_20260510_073624\logs\0011_0011__s10_STAGE10_hotfix1__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449.raw.log,expected_results_v2\all_expected_v2_20260510_073624\program_outputs\0011_0011__s10_STAGE10_hotfix1__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449.program.txt,UXM_V33_STAGE10_hotfix1_package
12,UYUSMAZ,compact,5.0479,0,uxm\tests\all_expected_known\0012__s10_STAGE10_hotfix1__uxm_tests_math_test_math05_num_deriv__191a99caff.uxm,uxm\tests\all_expected_known\0012__s10_STAGE10_hotfix1__uxm_tests_math_test_math05_num_deriv__191a99caff.expect,0012__s10_STAGE10_hotfix1__uxm_tests_math_test_math05_num_deriv__191a99caff,10,0,compact,expected_results_v2\all_expected_v2_20260510_073624\logs\0012_0012__s10_STAGE10_hotfix1__uxm_tests_math_test_math05_num_deriv__191a99caff.raw.log,expected_results_v2\all_expected_v2_20260510_073624\program_outputs\0012_0012__s10_STAGE10_hotfix1__uxm_tests_math_test_math05_num_deriv__191a99caff.program.txt,UXM_V33_STAGE10_hotfix1_package
13,UYUSMAZ,compact,5.5944,0,uxm\tests\all_expected_known\0013__s10_STAGE10_hotfix1__uxm_tests_math_test_math06_integral_trap__f9df1f263f.uxm,uxm\tests\all_expected_known\0013__s10_STAGE10_hotfix1__uxm_tests_math_test_math06_integral_trap__f9df1f263f.expect,0013__s10_STAGE10_hotfix1__uxm_tests_math_test_math06_integral_trap__f9df1f263f,50,0,compact,expected_results_v2\all_expected_v2_20260510_073624\logs\0013_0013__s10_STAGE10_hotfix1__uxm_tests_math_test_math06_integral_trap__f9df1f263f.raw.log,expected_results_v2\all_expected_v2_20260510_073624\program_outputs\0013_0013__s10_STAGE10_hotfix1__uxm_tests_math_test_math06_integral_trap__f9df1f263f.program.txt,UXM_V33_STAGE10_hotfix1_package
14,UYUSMAZ,compact,4.8494,0,uxm\tests\all_expected_known\0014__s10_STAGE10_hotfix1__uxm_tests_math_test_math07_integral_simpson__7adae488ba.uxm,uxm\tests\all_expected_known\0014__s10_STAGE10_hotfix1__uxm_tests_math_test_math07_integral_simpson__7adae488ba.expect,0014__s10_STAGE10_hotfix1__uxm_tests_math_test_math07_integral_simpson__7adae488ba,72,0,compact,expected_results_v2\all_expected_v2_20260510_073624\logs\0014_0014__s10_STAGE10_hotfix1__uxm_tests_math_test_math07_integral_simpson__7adae488ba.raw.log,expected_results_v2\all_expected_v2_20260510_073624\program_outputs\0014_0014__s10_STAGE10_hotfix1__uxm_tests_math_test_math07_integral_simpson__7adae488ba.program.txt,UXM_V33_STAGE10_hotfix1_package
15,UYUSMAZ,compact,5.0961,0,uxm\tests\all_expected_known\0015__s10_STAGE10_hotfix1__uxm_tests_matrix_tmp_det_debug__0ea11514b5.uxm,uxm\tests\all_expected_known\0015__s10_STAGE10_hotfix1__uxm_tests_matrix_tmp_det_debug__0ea11514b5.expect,0015__s10_STAGE10_hotfix1__uxm_tests_matrix_tmp_det_debug__0ea11514b5,-2,[12][34]-2,compact,expected_results_v2\all_expected_v2_20260510_073624\logs\0015_0015__s10_STAGE10_hotfix1__uxm_tests_matrix_tmp_det_debug__0ea11514b5.raw.log,expected_results_v2\all_expected_v2_20260510_073624\program_outputs\0015_0015__s10_STAGE10_hotfix1__uxm_tests_matrix_tmp_det_debug__0ea11514b5.program.txt,UXM_V33_STAGE10_hotfix1_package
27,UYUSMAZ,compact,5.2648,0,uxm\tests\all_expected_known\0032__s10_STAGE10_hotfix1__uxm_tests_native_test13_status_div_zero__1517d0d659.uxm,uxm\tests\all_expected_known\0032__s10_STAGE10_hotfix1__uxm_tests_native_test13_status_div_zero__1517d0d659.expect,0032__s10_STAGE10_hotfix1__uxm_tests_native_test13_status_div_zero__1517d0d659,15,0,compact,expected_results_v2\all_expected_v2_20260510_073624\logs\0027_0032__s10_STAGE10_hotfix1__uxm_tests_native_test13_status_div_zero__1517d0d659.raw.log,expected_results_v2\all_expected_v2_20260510_073624\program_outputs\0027_0032__s10_STAGE10_hotfix1__uxm_tests_native_test13_status_div_zero__1517d0d659.program.txt,UXM_V33_STAGE10_hotfix1_package
28,UYUSMAZ,compact,4.9555,0,uxm\tests\all_expected_known\0033__s10_STAGE10_hotfix1__uxm_tests_native_test14_branch_current_zero__475660ecab.uxm,uxm\tests\all_expected_known\0033__s10_STAGE10_hotfix1__uxm_tests_native_test14_branch_current_zero__475660ecab.expect,0033__s10_STAGE10_hotfix1__uxm_tests_native_test14_branch_current_zero__475660ecab,8,B,compact,expected_results_v2\all_expected_v2_20260510_073624\logs\0028_0033__s10_STAGE10_hotfix1__uxm_tests_native_test14_branch_current_zero__475660ecab.raw.log,expected_results_v2\all_expected_v2_20260510_073624\program_outputs\0028_0033__s10_STAGE10_hotfix1__uxm_tests_native_test14_branch_current_zero__475660ecab.program.txt,UXM_V33_STAGE10_hotfix1_package
29,UYUSMAZ,compact,4.2806,0,uxm\tests\all_expected_known\0034__s10_STAGE10_hotfix1__uxm_tests_native_test15_branch_nonzero__264c6a7d20.uxm,uxm\tests\all_expected_known\0034__s10_STAGE10_hotfix1__uxm_tests_native_test15_branch_nonzero__264c6a7d20.expect,0034__s10_STAGE10_hotfix1__uxm_tests_native_test15_branch_nonzero__264c6a7d20,8,B,compact,expected_results_v2\all_expected_v2_20260510_073624\logs\0029_0034__s10_STAGE10_hotfix1__uxm_tests_native_test15_branch_nonzero__264c6a7d20.raw.log,expected_results_v2\all_expected_v2_20260510_073624\program_outputs\0029_0034__s10_STAGE10_hotfix1__uxm_tests_native_test15_branch_nonzero__264c6a7d20.program.txt,UXM_V33_STAGE10_hotfix1_package
69,UYUSMAZ,compact,4.9144,0,uxm\tests\all_expected_known\0079__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_complex_basic__0344e7a13a.uxm,uxm\tests\all_expected_known\0079__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_complex_basic__0344e7a13a.expect,0079__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_complex_basic__0344e7a13a,400000060000005000000,400000060000002236068,compact,expected_results_v2\all_expected_v2_20260510_073624\logs\0069_0079__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_complex_basic__0344e7a13a.raw.log,expected_results_v2\all_expected_v2_20260510_073624\program_outputs\0069_0079__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_complex_basic__0344e7a13a.program.txt,UXM_V33_STAGE10_hotfix1_package
73,UYUSMAZ,compact,5.87,0,uxm\tests\all_expected_known\0087__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_matadv_inverse_identity__b905ef3b4a.uxm,uxm\tests\all_expected_known\0087__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_matadv_inverse_identity__b905ef3b4a.expect,0087__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_matadv_inverse_identity__b905ef3b4a,"[10][01]memorytape=64,stack=8,data=256,queue=4celldwordmodenormal",[10][01],compact,expected_results_v2\all_expected_v2_20260510_073624\logs\0073_0087__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_matadv_inverse_identity__b905ef3b4a.raw.log,expected_results_v2\all_expected_v2_20260510_073624\program_outputs\0073_0087__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_matadv_inverse_identity__b905ef3b4a.program.txt,UXM_V33_STAGE10_hotfix1_package
