index,status,mode,seconds,return_code,test_path,expect_path,unique_id,expected_compact,actual_compact,message,raw_log,program_log,source
1,UYUSMAZ,compact,8.8732,0,uxm\tests\memory_model_v7\test_mem_v7_byte_unit_roundup.uxm,uxm\tests\memory_model_v7\test_mem_v7_byte_unit_roundup.expect,uxm_tests_memory_model_v7_test_mem_v7_byte_unit_roundup.uxm,mode:compactexit_code:0---20483072,00,compact,expected_results_v5\memory_model_v9_20260510_191939\logs\0001_uxm_tests_memory_model_v7_test_mem_v7_byte_unit_roundup.uxm.raw.log,expected_results_v5\memory_model_v9_20260510_191939\program_outputs\0001_uxm_tests_memory_model_v7_test_mem_v7_byte_unit_roundup.uxm.program.txt,dir
2,UYUSMAZ,compact,5.3599,0,uxm\tests\memory_model_v7\test_mem_v7_data_4096_legacy_case.uxm,uxm\tests\memory_model_v7\test_mem_v7_data_4096_legacy_case.expect,uxm_tests_memory_model_v7_test_mem_v7_data_4096_legacy_case.uxm,mode:compactexit_code:0---4194304,0,compact,expected_results_v5\memory_model_v9_20260510_191939\logs\0002_uxm_tests_memory_model_v7_test_mem_v7_data_4096_legacy_case.uxm.raw.log,expected_results_v5\memory_model_v9_20260510_191939\program_outputs\0002_uxm_tests_memory_model_v7_test_mem_v7_data_4096_legacy_case.uxm.program.txt,dir
3,UYUSMAZ,compact,5.0107,0,uxm\tests\memory_model_v7\test_mem_v7_data_4mb_dword.uxm,uxm\tests\memory_model_v7\test_mem_v7_data_4mb_dword.expect,uxm_tests_memory_model_v7_test_mem_v7_data_4mb_dword.uxm,mode:compactexit_code:0---1048576,1048576,compact,expected_results_v5\memory_model_v9_20260510_191939\logs\0003_uxm_tests_memory_model_v7_test_mem_v7_data_4mb_dword.uxm.raw.log,expected_results_v5\memory_model_v9_20260510_191939\program_outputs\0003_uxm_tests_memory_model_v7_test_mem_v7_data_4mb_dword.uxm.program.txt,dir
4,UYUSMAZ,compact,5.1118,0,uxm\tests\memory_model_v7\test_mem_v7_fifo_2mb_ok.uxm,uxm\tests\memory_model_v7\test_mem_v7_fifo_2mb_ok.expect,uxm_tests_memory_model_v7_test_mem_v7_fifo_2mb_ok.uxm,mode:compactexit_code:0---65,65,compact,expected_results_v5\memory_model_v9_20260510_191939\logs\0004_uxm_tests_memory_model_v7_test_mem_v7_fifo_2mb_ok.uxm.raw.log,expected_results_v5\memory_model_v9_20260510_191939\program_outputs\0004_uxm_tests_memory_model_v7_test_mem_v7_fifo_2mb_ok.uxm.program.txt,dir
5,UYUSMAZ,compact,4.7083,0,uxm\tests\memory_model_v7\test_mem_v7_tape_1mb_byte.uxm,uxm\tests\memory_model_v7\test_mem_v7_tape_1mb_byte.expect,uxm_tests_memory_model_v7_test_mem_v7_tape_1mb_byte.uxm,mode:compactexit_code:0---1048576,0,compact,expected_results_v5\memory_model_v9_20260510_191939\logs\0005_uxm_tests_memory_model_v7_test_mem_v7_tape_1mb_byte.uxm.raw.log,expected_results_v5\memory_model_v9_20260510_191939\program_outputs\0005_uxm_tests_memory_model_v7_test_mem_v7_tape_1mb_byte.uxm.program.txt,dir
