sira,durum,mode,sure,exit_code,test_path,expect_path,expected_compact,actual_compact,raw_log,program_output,message
1,BASARILI,compact,6.673,0,uxm\tests\bellek_v11\test_bellek_byte_birim_kabul.uxm,uxm\tests\bellek_v11\test_bellek_byte_birim_kabul.expect,65,65,sonuclar_bellek\kosu_20260510_202456\loglar\0001_test_bellek_byte_birim_kabul.raw.log,sonuclar_bellek\kosu_20260510_202456\program_ciktilari\0001_test_bellek_byte_birim_kabul.txt,compact
2,BASARILI,compact,4.580,0,uxm\tests\bellek_v11\test_bellek_data_4096_kb_uyumluluk.uxm,uxm\tests\bellek_v11\test_bellek_data_4096_kb_uyumluluk.expect,1048576,1048576,sonuclar_bellek\kosu_20260510_202456\loglar\0002_test_bellek_data_4096_kb_uyumluluk.raw.log,sonuclar_bellek\kosu_20260510_202456\program_ciktilari\0002_test_bellek_data_4096_kb_uyumluluk.txt,compact
3,BASARILI,compact,3.974,0,uxm\tests\bellek_v11\test_bellek_data_4mb_dword.uxm,uxm\tests\bellek_v11\test_bellek_data_4mb_dword.expect,1048576,1048576,sonuclar_bellek\kosu_20260510_202456\loglar\0003_test_bellek_data_4mb_dword.raw.log,sonuclar_bellek\kosu_20260510_202456\program_ciktilari\0003_test_bellek_data_4mb_dword.txt,compact
4,BASARILI,compact,5.195,0,uxm\tests\bellek_v11\test_bellek_fifo_2mb_byte.uxm,uxm\tests\bellek_v11\test_bellek_fifo_2mb_byte.expect,65,65,sonuclar_bellek\kosu_20260510_202456\loglar\0004_test_bellek_fifo_2mb_byte.raw.log,sonuclar_bellek\kosu_20260510_202456\program_ciktilari\0004_test_bellek_fifo_2mb_byte.txt,compact
5,BASARILI,compact,5.796,0,uxm\tests\bellek_v11\test_bellek_tape_1mb_dword.uxm,uxm\tests\bellek_v11\test_bellek_tape_1mb_dword.expect,262144,262144,sonuclar_bellek\kosu_20260510_202456\loglar\0005_test_bellek_tape_1mb_dword.raw.log,sonuclar_bellek\kosu_20260510_202456\program_ciktilari\0005_test_bellek_tape_1mb_dword.txt,compact
