unique_test_path,unique_expect_path,unique_id,status,class,semantic_key,source_csv
uxm\tests\all_expected_known\0179__s10_STAGE10_matrix_adv_tensor__uxm_tests_v33_test_v33_corr_regression__7845beefc2.uxm,uxm\tests\all_expected_known\0179__s10_STAGE10_matrix_adv_tensor__uxm_tests_v33_test_v33_corr_regression__7845beefc2.expect,uxm_tests_all_expected_known_0179__s10_STAGE10_matrix_adv_tensor__uxm_tests_v33_test_v33_corr_regression__7845beefc2.uxm,UYUSMAZ,OUTPUT_MISMATCH,v33_test_v33_corr_regression,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0180__s10_STAGE10_matrix_adv_tensor__uxm_tests_v33_test_v33_dynamic_meta_addr__f1e7679b77.uxm,uxm\tests\all_expected_known\0180__s10_STAGE10_matrix_adv_tensor__uxm_tests_v33_test_v33_dynamic_meta_addr__f1e7679b77.expect,uxm_tests_all_expected_known_0180__s10_STAGE10_matrix_adv_tensor__uxm_tests_v33_test_v33_dynamic_meta_addr__f1e7679b77.uxm,BUILD_OR_RUN_FAIL,ASM_BUILD_ERROR,v33_test_v33_dynamic_meta_addr,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0211__s11_STAGE11_tensor_advanced__uxm_tests_math_test_math06_integral_trap__f9df1f263f.uxm,uxm\tests\all_expected_known\0211__s11_STAGE11_tensor_advanced__uxm_tests_math_test_math06_integral_trap__f9df1f263f.expect,uxm_tests_all_expected_known_0211__s11_STAGE11_tensor_advanced__uxm_tests_math_test_math06_integral_trap__f9df1f263f.uxm,UYUSMAZ,OUTPUT_MISMATCH,math_test_math06_integral_trap,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0215__s11_STAGE11_tensor_advanced__uxm_tests_matrix_test_matrix02_add_2x2__d6ea7d27d1.uxm,uxm\tests\all_expected_known\0215__s11_STAGE11_tensor_advanced__uxm_tests_matrix_test_matrix02_add_2x2__d6ea7d27d1.expect,uxm_tests_all_expected_known_0215__s11_STAGE11_tensor_advanced__uxm_tests_matrix_test_matrix02_add_2x2__d6ea7d27d1.uxm,BUILD_OR_RUN_FAIL,ASM_BUILD_ERROR,matrix_test_matrix02_add_2x2,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0216__s11_STAGE11_tensor_advanced__uxm_tests_matrix_test_matrix03_mul_2x2__41485263d4.uxm,uxm\tests\all_expected_known\0216__s11_STAGE11_tensor_advanced__uxm_tests_matrix_test_matrix03_mul_2x2__41485263d4.expect,uxm_tests_all_expected_known_0216__s11_STAGE11_tensor_advanced__uxm_tests_matrix_test_matrix03_mul_2x2__41485263d4.uxm,UYUSMAZ,OUTPUT_MISMATCH,matrix_test_matrix03_mul_2x2,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0217__s11_STAGE11_tensor_advanced__uxm_tests_matrix_test_matrix04_identity_trace_det2__dc519cfef9.uxm,uxm\tests\all_expected_known\0217__s11_STAGE11_tensor_advanced__uxm_tests_matrix_test_matrix04_identity_trace_det2__dc519cfef9.expect,uxm_tests_all_expected_known_0217__s11_STAGE11_tensor_advanced__uxm_tests_matrix_test_matrix04_identity_trace_det2__dc519cfef9.uxm,UYUSMAZ,OUTPUT_MISMATCH,matrix_test_matrix04_identity_trace_det2,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0218__s11_STAGE11_tensor_advanced__uxm_tests_native_test01_print_A__b500a9cd9d.uxm,uxm\tests\all_expected_known\0218__s11_STAGE11_tensor_advanced__uxm_tests_native_test01_print_A__b500a9cd9d.expect,uxm_tests_all_expected_known_0218__s11_STAGE11_tensor_advanced__uxm_tests_native_test01_print_A__b500a9cd9d.uxm,UYUSMAZ,OUTPUT_MISMATCH,native_test01_print_a,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0222__s11_STAGE11_tensor_advanced__uxm_tests_native_test05_meta_add__7f35cb022e.uxm,uxm\tests\all_expected_known\0222__s11_STAGE11_tensor_advanced__uxm_tests_native_test05_meta_add__7f35cb022e.expect,uxm_tests_all_expected_known_0222__s11_STAGE11_tensor_advanced__uxm_tests_native_test05_meta_add__7f35cb022e.uxm,BUILD_OR_RUN_FAIL,LINK_OR_TOOLCHAIN,native_test05_meta_add,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0228__s11_STAGE11_tensor_advanced__uxm_tests_native_test11_hypotenuse__a38c889f46.uxm,uxm\tests\all_expected_known\0228__s11_STAGE11_tensor_advanced__uxm_tests_native_test11_hypotenuse__a38c889f46.expect,uxm_tests_all_expected_known_0228__s11_STAGE11_tensor_advanced__uxm_tests_native_test11_hypotenuse__a38c889f46.uxm,BUILD_OR_RUN_FAIL,LINK_OR_TOOLCHAIN,native_test11_hypotenuse,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0229__s11_STAGE11_tensor_advanced__uxm_tests_native_test12_signed_mode__7d57850849.uxm,uxm\tests\all_expected_known\0229__s11_STAGE11_tensor_advanced__uxm_tests_native_test12_signed_mode__7d57850849.expect,uxm_tests_all_expected_known_0229__s11_STAGE11_tensor_advanced__uxm_tests_native_test12_signed_mode__7d57850849.uxm,BUILD_OR_RUN_FAIL,LINK_OR_TOOLCHAIN,native_test12_signed_mode,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0230__s11_STAGE11_tensor_advanced__uxm_tests_native_test13_status_div_zero__1517d0d659.uxm,uxm\tests\all_expected_known\0230__s11_STAGE11_tensor_advanced__uxm_tests_native_test13_status_div_zero__1517d0d659.expect,uxm_tests_all_expected_known_0230__s11_STAGE11_tensor_advanced__uxm_tests_native_test13_status_div_zero__1517d0d659.uxm,BUILD_OR_RUN_FAIL,LINK_OR_TOOLCHAIN,native_test13_status_div_zero,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0232__s11_STAGE11_tensor_advanced__uxm_tests_native_test15_branch_nonzero__264c6a7d20.uxm,uxm\tests\all_expected_known\0232__s11_STAGE11_tensor_advanced__uxm_tests_native_test15_branch_nonzero__264c6a7d20.expect,uxm_tests_all_expected_known_0232__s11_STAGE11_tensor_advanced__uxm_tests_native_test15_branch_nonzero__264c6a7d20.uxm,BUILD_OR_RUN_FAIL,LINK_OR_TOOLCHAIN,native_test15_branch_nonzero,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
